"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton",57,0,38,5,0,0,0,5,0,0,0,0,0,0
"Blob",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClassDataShouldBePrivate",38,0,0,2,0,0,0,12,0,0,0,0,0,0
"ComplexClass",5,0,2,0,0,0,0,52,0,0,0,0,0,0
"LargeClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LazyClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LongMethod",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LongParameterList",5,0,12,52,0,0,0,0,0,0,0,0,0,0
"MessageChains",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,0,0,0,0,0
