"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton",5,0,2,1,0,0,0,0,0,0,0,0,0,0
"Blob",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClassDataShouldBePrivate",2,0,0,1,0,0,0,0,0,0,0,0,0,0
"ComplexClass",1,0,1,0,0,0,0,7,0,0,0,0,0,0
"LargeClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LazyClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LongMethod",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LongParameterList",0,0,0,7,0,0,0,0,0,0,0,0,0,0
"MessageChains",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,0,0,0,0,0
